Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2024,117,Gambia,4.423,4.315,4.53,0.778,0.958,0.348,0.611,0.255,0.045,1.428
2023,112,Gambia,4.485,4.344,4.625,0.75,0.684,0.33,0.459,0.324,0.048,1.89
2022,119,Gambia,4.279,4.075,4.484,0.761,0.614,0.174,0.286,0.332,0.033,2.081
2021,93,Gambia,5.164,4.918,5.409,0.785,0.621,0.369,0.367,0.388,0.103,2.531
2020,99,Gambia,5.051,4.877,5.225,0.367,0.511,0.21,0.384,0.465,0.123,2.99
2019,113,Gambia,4.751,4.619,4.882,0.257,0.883,0.353,0.403,0.426,0.158,2.27
2024,91,Georgia,5.4,5.304,5.496,1.444,1.275,0.482,0.844,0.0,0.172,1.182
2023,91,Georgia,5.185,5.087,5.283,1.467,0.99,0.524,0.68,0.0,0.174,1.349
2022,90,Georgia,5.109,5.0,5.219,1.477,0.947,0.366,0.539,0.0,0.201,1.58
2021,105,Georgia,4.973,4.867,5.079,1.467,0.612,0.595,0.508,0.0,0.208,1.583
2020,109,Georgia,4.891,4.785,4.998,1.03,0.47,0.498,0.488,0.032,0.181,2.191
2019,117,Georgia,4.673,4.588,4.758,0.847,0.731,0.695,0.485,0.048,0.174,1.692
2024,22,Germany,6.753,6.652,6.854,1.785,1.625,0.776,0.858,0.148,0.351,1.21
2023,24,Germany,6.719,6.622,6.815,1.871,1.39,0.702,0.7,0.174,0.368,1.513
2022,16,Germany,6.892,6.795,6.989,1.919,1.401,0.539,0.618,0.153,0.365,1.898
2021,14,Germany,7.034,6.947,7.122,1.924,1.088,0.776,0.585,0.163,0.358,2.142
2020,14,Germany,7.155,7.077,7.232,1.48,0.993,0.757,0.6,0.195,0.306,2.824
2019,17,Germany,7.076,7.006,7.146,1.314,1.369,0.972,0.564,0.252,0.309,2.295
2024,125,Ghana,4.34,4.235,4.444,1.053,1.01,0.438,0.771,0.139,0.025,0.904
2023,120,Ghana,4.289,4.182,4.396,1.077,0.747,0.36,0.623,0.183,0.028,1.273
2022,107,Ghana,4.605,4.481,4.729,1.101,0.756,0.197,0.526,0.211,0.035,1.779
2021,111,Ghana,4.872,4.745,4.999,1.112,0.595,0.409,0.5,0.23,0.056,1.972
2020,96,Ghana,5.088,4.958,5.219,0.68,0.595,0.287,0.517,0.268,0.058,2.684
2019,91,Ghana,5.148,5.033,5.263,0.576,0.966,0.432,0.477,0.261,0.057,2.378
2024,81,Greece,5.776,5.677,5.875,1.608,1.438,0.725,0.396,0.003,0.063,1.543
2023,64,Greece,5.934,5.84,6.027,1.684,1.276,0.696,0.337,0.018,0.093,1.83
2022,58,Greece,5.931,5.838,6.024,1.708,1.247,0.535,0.248,0.008,0.097,2.089
2021,58,Greece,5.948,5.853,6.043,1.703,0.98,0.774,0.249,0.015,0.108,2.119
2020,69,Greece,5.723,5.632,5.813,1.273,0.811,0.76,0.243,0.0,0.074,2.561
2019,77,Greece,5.515,5.423,5.607,1.128,1.169,0.979,0.174,0.0,0.049,2.016
2024,44,Guatemala,6.362,6.222,6.503,1.249,1.33,0.376,0.882,0.075,0.085,2.365
2023,42,Guatemala,6.287,6.117,6.457,1.26,1.169,0.467,0.735,0.105,0.078,2.473
2022,43,Guatemala,6.15,5.939,6.362,1.287,1.188,0.31,0.631,0.106,0.066,2.562
2021,39,Guatemala,6.262,6.064,6.46,1.274,0.831,0.522,0.662,0.112,0.115,2.746
2020,31,Guatemala,6.435,6.292,6.577,0.845,0.79,0.519,0.638,0.163,0.105,3.375
2019,29,Guatemala,6.399,6.284,6.513,0.754,1.174,0.706,0.613,0.171,0.098,2.883
2024,102,Guinea,4.929,4.787,5.07,0.873,0.791,0.306,0.676,0.157,0.098,2.027
2023,97,Guinea,5.023,4.881,5.166,0.831,0.622,0.236,0.521,0.21,0.107,2.497
2022,91,Guinea,5.072,4.931,5.213,0.844,0.776,0.072,0.369,0.204,0.102,2.705
2021,109,Guinea,4.891,4.753,5.028,0.848,0.566,0.275,0.334,0.214,0.116,2.538
2020,103,Guinea,4.984,4.808,5.16,0.42,0.399,0.206,0.384,0.25,0.111,3.216
2019,102,Guinea,4.949,4.806,5.092,0.39,0.751,0.334,0.372,0.249,0.112,2.741
2020,144,Haiti,3.615,3.276,3.953,0.294,0.173,0.227,0.257,0.463,0.139,2.06
2019,142,Haiti,3.721,3.522,3.92,0.285,0.647,0.374,0.169,0.464,0.162,1.62
2024,63,Honduras,5.964,5.821,6.108,1.036,1.187,0.436,0.862,0.134,0.079,2.229
2023,61,Honduras,5.968,5.822,6.114,1.091,1.035,0.502,0.72,0.175,0.081,2.364
2022,53,Honduras,6.023,5.849,6.196,1.115,1.072,0.341,0.613,0.189,0.062,2.631
2021,55,Honduras,6.022,5.855,6.189,1.111,0.885,0.555,0.582,0.202,0.076,2.611
2020,60,Honduras,5.919,5.758,6.081,0.703,0.787,0.593,0.578,0.241,0.083,2.934
2019,56,Honduras,5.953,5.824,6.082,0.599,1.187,0.792,0.568,0.257,0.087,2.464
2024,88,Hong Kong SAR of China,5.491,5.417,5.566,1.79,1.41,0.948,0.674,0.116,0.386,0.168
2023,86,Hong Kong SAR of China,5.316,5.229,5.403,1.909,1.184,0.857,0.485,0.147,0.402,0.333
2022,82,Hong Kong SAR of China,5.308,5.214,5.403,1.951,1.201,0.702,0.407,0.123,0.39,0.535
2021,81,Hong Kong SAR of China,5.425,5.348,5.501,1.957,0.954,0.942,0.4,0.147,0.383,0.642
2020,78,Hong Kong SAR of China,5.477,5.38,5.573,1.525,0.841,0.893,0.408,0.232,0.342,1.236
2019,78,Hong Kong SAR of China,5.51,5.42,5.601,1.377,1.244,1.137,0.459,0.288,0.332,0.673
2024,69,Hungary,5.915,5.809,6.02,1.638,1.742,0.587,0.681,0.099,0.057,1.111
2023,56,Hungary,6.017,5.91,6.124,1.722,1.528,0.596,0.581,0.123,0.067,1.4
2022,51,Hungary,6.041,5.933,6.149,1.754,1.519,0.435,0.501,0.105,0.065,1.663
2021,51,Hungary,6.086,5.985,6.187,1.748,1.233,0.668,0.485,0.078,0.064,1.812
2020,54,Hungary,5.992,5.899,6.085,1.301,1.083,0.615,0.454,0.067,0.04,2.432
2019,53,Hungary,6.0,5.923,6.078,1.164,1.423,0.807,0.386,0.07,0.028,2.122
2024,3,Iceland,7.515,7.425,7.606,1.799,1.84,0.873,0.971,0.201,0.173,1.659
2023,3,Iceland,7.525,7.433,7.618,1.881,1.617,0.718,0.819,0.258,0.182,2.05
2022,3,Iceland,7.53,7.434,7.625,1.926,1.62,0.559,0.738,0.25,0.187,2.25
2021,3,Iceland,7.557,7.464,7.651,1.936,1.32,0.803,0.718,0.27,0.191,2.32
2020,5,Iceland,7.554,7.438,7.67,1.482,1.172,0.772,0.698,0.293,0.17,2.967
2019,4,Iceland,7.504,7.388,7.621,1.327,1.548,1.001,0.662,0.362,0.145,2.461
2024,118,India,4.389,4.32,4.457,1.149,0.86,0.316,0.914,0.141,0.12,0.889
2023,126,India,4.054,3.985,4.123,1.166,0.653,0.417,0.767,0.174,0.122,0.756
2022,126,India,4.036,3.98,4.092,1.159,0.674,0.252,0.685,0.175,0.111,0.979
2021,136,India,3.777,3.726,3.828,1.167,0.376,0.471,0.647,0.198,0.123,0.795
2020,140,India,3.819,3.769,3.869,0.741,0.316,0.383,0.622,0.246,0.106,1.405
2019,144,India,3.573,3.519,3.628,0.731,0.644,0.541,0.581,0.237,0.106,0.734
2024,83,Indonesia,5.617,5.516,5.717,1.288,1.372,0.454,0.918,0.323,0.044,1.218
2023,80,Indonesia,5.568,5.466,5.67,1.361,1.184,0.472,0.779,0.399,0.055,1.318
2022,84,Indonesia,5.277,5.161,5.392,1.384,1.169,0.314,0.663,0.422,0.038,1.288
2021,87,Indonesia,5.24,5.139,5.341,1.382,0.883,0.539,0.62,0.468,0.047,1.3
2020,83,Indonesia,5.345,5.235,5.454,0.954,0.786,0.433,0.598,0.541,0.046,1.987
2019,84,Indonesia,5.286,5.192,5.379,0.892,1.155,0.61,0.568,0.543,0.038,1.48
2024,99,Iran,5.093,4.994,5.193,1.33,1.367,0.609,0.456,0.202,0.122,1.007
2023,100,Iran,4.923,4.822,5.024,1.435,1.136,0.571,0.366,0.235,0.123,1.057
2022,101,Iran,4.876,4.772,4.98,1.465,1.102,0.411,0.281,0.229,0.13,1.259
2021,110,Iran,4.888,4.78,4.995,1.41,0.741,0.642,0.281,0.241,0.146,1.427
2020,119,Iran,4.721,4.614,4.828,1.03,0.557,0.561,0.275,0.33,0.144,1.823
2019,118,Iran,4.672,4.563,4.782,1.029,0.886,0.749,0.301,0.277,0.143,1.287
2024,101,Iraq,4.976,4.866,5.085,1.261,1.275,0.589,0.503,0.1,0.069,1.178
2023,92,Iraq,5.166,5.049,5.283,1.249,0.996,0.498,0.425,0.141,0.048,1.809
2022,98,Iraq,4.941,4.783,5.099,1.281,0.953,0.324,0.351,0.134,0.038,1.861
2021,107,Iraq,4.941,4.783,5.099,1.289,0.682,0.554,0.328,0.147,0.046,1.894
2020,112,Iraq,4.854,4.738,4.97,0.91,0.638,0.381,0.302,0.153,0.041,2.429
2019,110,Iraq,4.785,4.632,4.937,0.982,1.011,0.529,0.284,0.153,0.073,1.752
2024,15,Ireland,6.889,6.801,6.977,1.988,1.659,0.823,0.906,0.179,0.382,0.952
2023,17,Ireland,6.838,6.749,6.927,2.129,1.39,0.7,0.758,0.205,0.418,1.239
2022,14,Ireland,6.911,6.825,6.996,2.152,1.425,0.539,0.656,0.186,0.409,1.545
2021,13,Ireland,7.041,6.961,7.121,2.129,1.166,0.779,0.627,0.19,0.408,1.743
2020,16,Ireland,7.085,7.006,7.164,1.644,1.092,0.753,0.606,0.238,0.367,2.384
2019,16,Ireland,7.094,7.016,7.172,1.447,1.471,0.976,0.588,0.295,0.373,1.944
2024,8,Israel,7.234,7.168,7.301,1.695,1.743,0.824,0.74,0.144,0.193,1.895
2023,5,Israel,7.341,7.277,7.405,1.803,1.513,0.74,0.641,0.153,0.193,2.298
2022,4,Israel,7.473,7.411,7.535,1.833,1.521,0.577,0.569,0.124,0.158,2.691
2021,9,Israel,7.364,7.301,7.426,1.826,1.221,0.818,0.568,0.155,0.143,2.634
2020,13,Israel,7.157,7.09,7.224,1.376,1.074,0.788,0.509,0.208,0.119,3.083
2019,14,Israel,7.129,7.045,7.212,1.216,1.403,1.008,0.421,0.267,0.1,2.713
2024,40,Italy,6.415,6.309,6.521,1.724,1.526,0.852,0.641,0.082,0.071,1.517
2023,41,Italy,6.324,6.211,6.436,1.8,1.328,0.72,0.513,0.112,0.074,1.777
2022,33,Italy,6.405,6.298,6.511,1.832,1.365,0.559,0.438,0.097,0.063,2.052
2021,31,Italy,6.467,6.363,6.57,1.834,1.052,0.801,0.412,0.085,0.059,2.222
2020,29,Italy,6.483,6.395,6.572,1.393,0.94,0.798,0.379,0.133,0.047,2.794
2019,30,Italy,6.387,6.303,6.472,1.236,1.347,1.023,0.321,0.17,0.04,2.25
2024,73,Jamaica,5.87,5.563,6.178,1.182,1.545,0.504,0.869,0.075,0.019,1.676
2023,67,Jamaica,5.842,5.624,6.059,1.28,1.324,0.567,0.647,0.089,0.028,1.907
2022,68,Jamaica,5.703,5.529,5.876,1.305,1.329,0.411,0.587,0.079,0.039,1.954
2021,63,Jamaica,5.85,5.676,6.023,1.296,1.045,0.646,0.567,0.08,0.053,2.164
2020,38,Jamaica,6.309,6.004,6.615,0.891,0.932,0.599,0.618,0.099,0.035,3.135
2019,60,Jamaica,5.89,5.653,6.126,0.779,1.408,0.788,0.553,0.116,0.03,2.214
2024,55,Japan,6.147,6.063,6.23,1.678,1.55,0.921,0.746,0.014,0.2,1.038
2023,51,Japan,6.06,5.976,6.144,1.786,1.354,0.785,0.632,0.023,0.219,1.261
2022,47,Japan,6.129,6.047,6.211,1.825,1.396,0.622,0.556,0.009,0.207,1.513
2021,54,Japan,6.039,5.959,6.119,1.835,1.089,0.866,0.537,0.007,0.218,1.487
2020,57,Japan,5.94,5.861,6.02,1.389,0.949,0.838,0.504,0.02,0.192,2.048
2019,62,Japan,5.871,5.79,5.952,1.267,1.332,1.073,0.495,0.036,0.181,1.486
2024,128,Jordan,4.31,4.193,4.426,1.158,1.202,0.573,0.7,0.051,0.164,0.461
2023,125,Jordan,4.186,4.066,4.306,1.262,0.983,0.594,0.593,0.059,0.189,0.504
2022,123,Jordan,4.12,3.997,4.242,1.292,0.98,0.438,0.517,0.056,0.173,0.663
2021,134,Jordan,4.152,4.029,4.276,1.324,0.724,0.675,0.476,0.058,0.2,0.695
2020,128,Jordan,4.395,4.273,4.516,0.89,0.685,0.583,0.455,0.079,0.15,1.553
2019,119,Jordan,4.633,4.518,4.749,0.785,1.14,0.778,0.425,0.091,0.152,1.262
2024,43,Kazakhstan,6.378,6.294,6.462,1.586,1.688,0.504,0.878,0.111,0.118,1.492
2023,49,Kazakhstan,6.188,6.097,6.278,1.622,1.457,0.556,0.733,0.149,0.12,1.551
2022,44,Kazakhstan,6.144,6.049,6.239,1.664,1.491,0.389,0.628,0.136,0.149,1.688
2021,40,Kazakhstan,6.234,6.138,6.33,1.668,1.22,0.611,0.584,0.134,0.157,1.86
2020,46,Kazakhstan,6.152,6.06,6.243,1.23,1.103,0.527,0.573,0.143,0.132,2.446
2019,50,Kazakhstan,6.058,5.973,6.143,1.123,1.453,0.699,0.497,0.154,0.11,2.022
2024,115,Kenya,4.51,4.384,4.636,0.994,1.047,0.448,0.649,0.22,0.073,1.079
2023,114,Kenya,4.47,4.344,4.595,1.037,0.895,0.353,0.519,0.282,0.069,1.316
2022,111,Kenya,4.487,4.357,4.616,1.051,0.881,0.19,0.418,0.291,0.055,1.601
2021,119,Kenya,4.543,4.403,4.683,1.032,0.605,0.401,0.44,0.322,0.082,1.661
2020,122,Kenya,4.607,4.466,4.747,0.603,0.508,0.385,0.483,0.375,0.073,2.18
2019,121,Kenya,4.583,4.45,4.716,0.476,0.905,0.536,0.519,0.394,0.067,1.685
2024,29,Kosovo,6.659,6.557,6.761,1.281,1.454,0.896,0.893,0.201,0.087,1.847
2023,29,Kosovo,6.561,6.455,6.667,1.364,1.277,0.599,0.739,0.254,0.073,2.255
2022,34,Kosovo,6.368,6.25,6.485,1.374,1.269,0.372,0.639,0.275,0.045,2.393
2021,32,Kosovo,6.455,6.339,6.571,1.362,0.949,0.569,0.599,0.309,0.035,2.631
2020,34,Kosovo,6.372,6.257,6.487,0.937,0.807,0.483,0.593,0.356,0.014,3.182
2019,35,Kosovo,6.325,6.223,6.428,0.84,1.184,0.673,0.557,0.325,0.009,2.737
2024,30,Kuwait,6.629,6.52,6.738,1.691,1.481,0.766,0.934,0.143,0.167,1.448
2023,13,Kuwait,6.951,6.843,7.06,1.845,1.364,0.661,0.827,0.2,0.172,1.884
2021,50,Kuwait,6.106,5.977,6.235,1.904,0.983,0.747,0.617,0.087,0.147,1.621
2020,48,Kuwait,6.106,5.977,6.235,1.461,0.857,0.58,0.591,0.12,0.13,2.368
2019,48,Kuwait,6.102,5.998,6.207,1.425,1.245,0.776,0.57,0.133,0.113,1.84
2024,75,Kyrgyzstan,5.858,5.778,5.938,1.032,1.715,0.647,0.981,0.169,0.053,1.261
2023,75,Kyrgyzstan,5.714,5.632,5.795,1.054,1.477,0.588,0.834,0.225,0.03,1.505
2022,62,Kyrgyzstan,5.825,5.737,5.913,1.061,1.439,0.417,0.735,0.234,0.018,1.92
2021,64,Kyrgyzstan,5.828,5.741,5.916,1.069,1.109,0.638,0.693,0.208,0.025,2.087
2020,68,Kyrgyzstan,5.744,5.653,5.834,0.665,0.971,0.501,0.673,0.266,0.02,2.648
2019,74,Kyrgyzstan,5.542,5.456,5.627,0.513,1.341,0.681,0.615,0.301,0.03,2.06
2024,93,Lao PDR,5.301,5.179,5.422,1.122,1.01,0.493,0.916,0.145,0.164,1.452
2023,94,Lao PDR,5.139,5.017,5.261,1.208,0.846,0.423,0.796,0.17,0.167,1.529
2022,89,Lao PDR,5.111,4.952,5.269,1.232,0.853,0.257,0.715,0.185,0.162,1.707
2021,95,Lao PDR,5.14,5.018,5.263,1.239,0.654,0.479,0.679,0.197,0.184,1.709
2020,101,Lao PDR,5.03,4.941,5.119,0.808,0.598,0.33,0.643,0.268,0.179,2.204
2019,104,Lao PDR,4.889,4.81,4.968,0.715,0.987,0.486,0.612,0.273,0.194,1.621
2024,51,Latvia,6.207,6.123,6.292,1.619,1.711,0.503,0.789,0.108,0.082,1.396
2023,46,Latvia,6.234,6.155,6.314,1.7,1.508,0.564,0.666,0.127,0.078,1.59
2022,41,Latvia,6.213,6.131,6.295,1.737,1.505,0.405,0.58,0.107,0.071,1.808
2021,42,Latvia,6.18,6.106,6.255,1.732,1.221,0.637,0.502,0.075,0.09,1.923
2020,52,Latvia,6.032,5.961,6.103,1.285,1.047,0.587,0.405,0.082,0.089,2.536
2019,57,Latvia,5.95,5.882,6.018,1.141,1.414,0.778,0.329,0.075,0.09,2.121
2024,145,Lebanon,3.188,3.098,3.277,1.223,0.984,0.44,0.279,0.071,0.041,0.15
2023,142,Lebanon,2.707,2.616,2.797,1.377,0.577,0.556,0.173,0.068,0.029,-0.073
2022,136,Lebanon,2.392,2.305,2.479,1.417,0.476,0.398,0.123,0.061,0.027,-0.11
2021,145,Lebanon,2.955,2.862,3.049,1.392,0.498,0.631,0.103,0.082,0.034,0.216
2020,124,Lebanon,4.584,4.477,4.691,1.045,0.868,0.595,0.175,0.14,0.026,1.736
2019,111,Lebanon,4.772,4.686,4.857,0.889,1.192,0.789,0.186,0.159,0.022,1.536
2024,138,Lesotho,3.757,3.558,3.957,0.737,1.131,0.0,0.606,0.065,0.072,1.145
2023,141,Lesotho,3.186,2.904,3.469,0.771,0.851,0.0,0.523,0.082,0.085,0.875
2021,141,Lesotho,3.512,3.276,3.748,0.839,0.848,0.0,0.419,0.076,0.018,1.312
2020,146,Lesotho,3.512,3.276,3.748,0.451,0.731,0.007,0.405,0.103,0.015,1.8
2019,143,Lesotho,3.653,3.492,3.814,0.455,1.089,0.101,0.409,0.103,0.05,1.446
2024,129,Liberia,4.277,4.111,4.444,0.582,0.888,0.324,0.653,0.143,0.068,1.618
2023,121,Liberia,4.269,4.063,4.474,0.619,0.673,0.301,0.546,0.178,0.075,1.878
2022,125,Liberia,4.042,3.76,4.325,0.628,0.644,0.141,0.471,0.219,0.071,1.869
2021,97,Liberia,5.122,4.815,5.428,0.636,0.67,0.309,0.405,0.178,0.08,2.844
2020,121,Liberia,4.625,4.417,4.833,0.228,0.58,0.253,0.43,0.221,0.057,2.857
2019,124,Liberia,4.558,4.397,4.719,0.174,0.921,0.392,0.406,0.227,0.051,2.387
2024,79,Libya,5.82,5.727,5.913,1.247,1.309,0.549,0.724,0.111,0.214,1.666
2023,66,Libya,5.866,5.746,5.987,1.526,1.1,0.55,0.592,0.111,0.204,1.785
2021,86,Libya,5.33,5.118,5.543,1.476,0.943,0.606,0.477,0.106,0.179,1.544
2020,81,Libya,5.41,5.262,5.558,1.044,0.821,0.435,0.474,0.131,0.174,2.331
2019,80,Libya,5.489,5.37,5.608,1.022,1.196,0.616,0.451,0.143,0.172,1.889
2024,16,Lithuania,6.829,6.746,6.912,1.684,1.699,0.592,0.702,0.031,0.123,1.998
2023,19,Lithuania,6.818,6.739,6.896,1.766,1.454,0.598,0.533,0.044,0.116,2.307
2022,20,Lithuania,6.763,6.677,6.849,1.808,1.511,0.432,0.487,0.059,0.089,2.377
2021,34,Lithuania,6.446,6.356,6.535,1.804,1.204,0.659,0.496,0.053,0.077,2.153
2020,39,Lithuania,6.255,6.167,6.344,1.35,1.065,0.612,0.476,0.056,0.073,2.624
2019,41,Lithuania,6.215,6.129,6.302,1.194,1.433,0.795,0.42,0.054,0.081,2.238
2024,9,Luxembourg,7.122,7.031,7.213,2.028,1.558,0.864,0.931,0.117,0.397,1.227
2023,8,Luxembourg,7.122,7.031,7.213,2.141,1.355,0.708,0.801,0.146,0.432,1.54
2022,9,Luxembourg,7.228,7.093,7.363,2.2,1.357,0.549,0.71,0.149,0.418,1.845
2021,6,Luxembourg,7.404,7.307,7.501,2.209,1.155,0.79,0.7,0.12,0.388,2.042
2020,9,Luxembourg,7.324,7.252,7.396,1.751,1.003,0.76,0.639,0.166,0.353,2.653
2019,10,Luxembourg,7.238,7.177,7.298,1.537,1.388,0.986,0.61,0.196,0.367,2.154
2024,130,Madagascar,4.157,4.05,4.265,0.588,0.938,0.341,0.292,0.131,0.118,1.751
2023,123,Madagascar,4.228,4.097,4.359,0.628,0.823,0.333,0.25,0.172,0.123,1.897
2022,127,Madagascar,4.019,3.839,4.199,0.632,0.779,0.178,0.187,0.177,0.134,1.932
2021,128,Madagascar,4.339,4.148,4.53,0.67,0.645,0.378,0.202,0.143,0.154,2.148
2020,136,Madagascar,4.208,4.068,4.349,0.266,0.503,0.341,0.207,0.185,0.087,2.62
2019,137,Madagascar,4.166,4.053,4.278,0.245,0.824,0.501,0.193,0.191,0.076,2.136
2024,144,Malawi,3.26,3.13,3.39,0.588,0.489,0.28,0.677,0.115,0.136,0.975
2023,136,Malawi,3.421,3.281,3.561,0.617,0.41,0.349,0.571,0.135,0.136,1.203
2022,131,Malawi,3.495,3.32,3.671,0.637,0.479,0.189,0.49,0.139,0.129,1.432
2021,138,Malawi,3.75,3.56,3.941,0.648,0.279,0.388,0.477,0.14,0.157,1.661
2020,145,Malawi,3.6,3.419,3.781,0.113,0.168,0.298,0.484,0.213,0.134,2.19
2019,145,Malawi,3.538,3.4,3.676,0.177,0.53,0.446,0.487,0.213,0.132,1.553
2024,64,Malaysia,5.955,5.854,6.055,1.571,1.315,0.446,0.991,0.181,0.11,1.341
2023,59,Malaysia,5.975,5.872,6.078,1.646,1.143,0.54,0.829,0.226,0.119,1.473
2022,55,Malaysia,6.012,5.858,6.167,1.665,1.155,0.385,0.659,0.222,0.122,1.804
2021,70,Malaysia,5.711,5.578,5.845,1.689,0.938,0.62,0.654,0.213,0.126,1.471
2020,82,Malaysia,5.384,5.289,5.48,1.259,0.797,0.587,0.624,0.27,0.064,1.784
2019,82,Malaysia,5.384,5.289,5.48,1.168,1.174,0.789,0.597,0.275,0.062,1.319
2020,90,Maldives,5.198,5.057,5.339,1.115,1.015,0.697,0.575,0.204,0.073,1.52
2019,87,Maldives,5.198,5.057,5.339,0.938,1.402,0.914,0.548,0.224,0.072,1.099
2024,123,Mali,4.345,4.232,4.457,0.709,0.908,0.318,0.767,0.093,0.114,1.436
2023,122,Mali,4.232,4.117,4.347,0.747,0.688,0.267,0.586,0.12,0.09,1.734
2022,120,Mali,4.198,4.076,4.319,0.763,0.637,0.106,0.441,0.121,0.059,2.07
2021,123,Mali,4.479,4.347,4.611,0.792,0.483,0.311,0.35,0.128,0.042,2.373
2020,118,Mali,4.723,4.563,4.884,0.387,0.59,0.11,0.384,0.164,0.072,3.016
2019,114,Mali,4.729,4.603,4.855,0.352,0.973,0.235,0.378,0.17,0.062,2.559
2024,48,Malta,6.316,6.234,6.398,1.76,1.671,0.837,0.837,0.217,0.115,0.879
2023,40,Malta,6.346,6.261,6.43,1.827,1.444,0.707,0.727,0.25,0.125,1.267
2022,37,Malta,6.3,6.212,6.388,1.841,1.468,0.547,0.671,0.2,0.143,1.429
2021,33,Malta,6.447,6.359,6.535,1.838,1.169,0.789,0.679,0.174,0.166,1.631
2020,24,Malta,6.602,6.516,6.688,1.411,1.055,0.747,0.664,0.275,0.183,2.268
2019,22,Malta,6.773,6.689,6.857,1.253,1.443,0.972,0.633,0.341,0.179,1.952
2024,114,Mauritania,4.542,4.408,4.676,1.023,0.919,0.516,0.454,0.113,0.195,1.323
2023,111,Mauritania,4.505,4.337,4.673,1.078,0.705,0.4,0.343,0.133,0.198,1.649
2022,103,Mauritania,4.724,4.437,5.011,1.099,0.764,0.244,0.32,0.13,0.195,1.973
2021,133,Mauritania,4.153,3.95,4.356,1.1,0.865,0.45,0.304,0.088,0.138,1.207
2020,135,Mauritania,4.227,4.09,4.365,0.666,0.749,0.273,0.218,0.119,0.133,2.069
2019,129,Mauritania,4.375,4.267,4.483,0.54,1.113,0.425,0.186,0.129,0.122,1.86
2024,78,Mauritius,5.832,5.715,5.948,1.499,1.521,0.617,0.761,0.095,0.13,1.209
2023,70,Mauritius,5.816,5.706,5.927,1.57,1.358,0.49,0.641,0.123,0.118,1.517
2022,59,Mauritius,5.902,5.791,6.013,1.589,1.382,0.336,0.574,0.121,0.11,1.79
2021,52,Mauritius,6.071,5.958,6.184,1.591,1.116,0.568,0.589,0.131,0.107,1.969
2020,51,Mauritius,6.049,5.933,6.165,1.178,0.996,0.574,0.59,0.153,0.096,2.462
2019,49,Mauritius,6.101,5.989,6.213,1.074,1.396,0.763,0.591,0.187,0.084,2.007
2024,10,Mexico,6.979,6.889,7.068,1.435,1.504,0.55,0.879,0.057,0.118,2.438
2023,25,Mexico,6.678,6.575,6.781,1.521,1.241,0.544,0.722,0.086,0.127,2.437
2022,36,Mexico,6.33,6.218,6.441,1.55,1.169,0.389,0.632,0.086,0.115,2.389
2021,46,Mexico,6.128,6.017,6.238,1.552,0.886,0.623,0.621,0.092,0.115,2.239
2020,37,Mexico,6.317,6.213,6.42,1.126,0.83,0.634,0.585,0.092,0.089,2.961
2019,24,Mexico,6.465,6.371,6.559,1.024,1.226,0.832,0.554,0.083,0.083,2.663
2024,77,Mongolia,5.833,5.747,5.919,1.336,1.731,0.423,0.629,0.18,0.053,1.481
2023,77,Mongolia,5.696,5.61,5.783,1.353,1.511,0.4,0.501,0.237,0.055,1.64
2022,61,Mongolia,5.84,5.75,5.93,1.379,1.494,0.244,0.425,0.239,0.058,2.001
2021,68,Mongolia,5.761,5.676,5.845,1.393,1.197,0.467,0.398,0.247,0.059,1.999
2020,71,Mongolia,5.677,5.595,5.76,0.966,1.065,0.442,0.397,0.263,0.053,2.492
2019,81,Mongolia,5.456,5.377,5.535,0.905,1.459,0.616,0.356,0.264,0.047,1.811
2024,71,Montenegro,5.877,5.789,5.965,1.507,1.551,0.618,0.768,0.075,0.138,1.22
2023,76,Montenegro,5.707,5.599,5.815,1.571,1.318,0.587,0.632,0.11,0.132,1.357
2022,67,Montenegro,5.722,5.503,5.941,1.537,1.385,0.424,0.563,0.17,0.061,1.581
2021,75,Montenegro,5.547,5.413,5.681,1.573,1.023,0.659,0.46,0.135,0.077,1.619
2020,73,Montenegro,5.581,5.475,5.686,1.155,0.891,0.637,0.397,0.166,0.081,2.254
2019,72,Montenegro,5.546,5.45,5.642,1.01,1.266,0.839,0.303,0.149,0.098,1.881
2024,112,Morocco,4.622,4.509,4.736,1.139,0.635,0.585,0.748,0.031,0.095,1.388
2023,107,Morocco,4.795,4.677,4.912,1.213,0.471,0.495,0.631,0.042,0.082,1.861
2022,100,Morocco,4.903,4.783,5.023,1.236,0.535,0.337,0.54,0.013,0.085,2.158
2021,100,Morocco,5.06,4.938,5.181,1.208,0.268,0.565,0.492,0.02,0.102,2.405
2020,107,Morocco,4.918,4.8,5.036,0.792,0.219,0.558,0.477,0.034,0.088,2.749
2019,97,Morocco,5.095,4.986,5.204,0.759,0.645,0.745,0.45,0.04,0.077,2.378
2024,96,Mozambique,5.19,5.004,5.376,0.559,1.131,0.124,0.813,0.127,0.173,2.262
2023,90,Mozambique,5.216,5.027,5.406,0.56,0.883,0.156,0.728,0.158,0.196,2.536
2022,97,Mozambique,4.954,4.727,5.181,0.57,0.885,0.0,0.625,0.161,0.192,2.519
