Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2024,14,Belgium,6.91,6.845,6.974,1.783,1.646,0.852,0.895,0.119,0.306,1.309
2023,16,Belgium,6.894,6.827,6.961,1.868,1.44,0.69,0.729,0.17,0.311,1.686
2022,17,Belgium,6.859,6.793,6.926,1.907,1.449,0.528,0.59,0.137,0.273,1.976
2021,19,Belgium,6.805,6.72,6.89,1.907,1.106,0.764,0.492,0.049,0.204,2.283
2020,21,Belgium,6.834,6.767,6.901,1.463,0.998,0.747,0.489,0.088,0.187,2.862
2019,20,Belgium,6.864,6.796,6.931,1.296,1.399,0.965,0.5,0.147,0.209,2.349
2024,25,Belize,6.711,6.432,6.989,1.256,1.54,0.525,1.018,0.072,0.082,2.218
2024,121,Benin,4.357,4.222,4.492,0.855,0.228,0.357,0.679,0.092,0.238,1.909
2023,116,Benin,4.377,4.245,4.51,0.914,0.128,0.284,0.567,0.112,0.252,2.121
2022,116,Benin,4.374,4.244,4.504,0.924,0.242,0.124,0.481,0.114,0.253,2.235
2021,115,Benin,4.623,4.492,4.754,0.932,0.064,0.335,0.479,0.127,0.23,2.458
2020,100,Benin,5.045,4.901,5.189,0.507,0.058,0.196,0.457,0.166,0.178,3.482
2019,86,Benin,5.216,5.064,5.368,0.366,0.352,0.328,0.406,0.197,0.126,3.441
2024,74,Bolivia,5.868,5.758,5.977,1.173,1.356,0.346,0.817,0.067,0.052,2.057
2023,73,Bolivia,5.784,5.674,5.895,1.217,1.179,0.488,0.719,0.1,0.061,2.02
2022,69,Bolivia,5.684,5.572,5.797,1.24,1.187,0.329,0.648,0.103,0.06,2.118
2021,71,Bolivia,5.6,5.491,5.709,1.256,0.88,0.555,0.627,0.112,0.064,2.107
2020,70,Bolivia,5.716,5.613,5.819,0.842,0.782,0.486,0.6,0.138,0.064,2.805
2019,65,Bolivia,5.747,5.648,5.847,0.731,1.142,0.662,0.574,0.138,0.073,2.426
2024,56,Bosnia and Herzegovina,6.136,6.039,6.234,1.405,1.545,0.616,0.749,0.178,0.009,1.635
2023,65,Bosnia and Herzegovina,5.877,5.775,5.979,1.465,1.318,0.587,0.621,0.246,0.0,1.64
2022,71,Bosnia and Herzegovina,5.633,5.49,5.775,1.467,1.361,0.429,0.485,0.247,0.008,1.635
2021,67,Bosnia and Herzegovina,5.768,5.659,5.877,1.468,1.068,0.665,0.448,0.244,0.006,1.869
2020,65,Bosnia and Herzegovina,5.813,5.715,5.911,1.032,0.919,0.618,0.395,0.261,0.005,2.583
2019,69,Bosnia and Herzegovina,5.674,5.583,5.765,0.918,1.204,0.814,0.305,0.264,0.001,2.167
2024,142,Botswana,3.438,3.301,3.576,1.388,1.146,0.094,0.697,0.018,0.083,0.012
2023,137,Botswana,3.383,3.209,3.558,1.445,0.969,0.241,0.567,0.014,0.082,0.066
2022,132,Botswana,3.435,3.168,3.702,1.471,1.041,0.087,0.48,0.021,0.071,0.264
2021,142,Botswana,3.471,3.275,3.667,1.503,0.815,0.28,0.571,0.012,0.102,0.187
2020,147,Botswana,3.467,3.322,3.611,1.099,0.724,0.34,0.539,0.027,0.088,0.648
2019,147,Botswana,3.479,3.36,3.598,0.998,1.086,0.494,0.509,0.033,0.102,0.257
2024,36,Brazil,6.494,6.394,6.593,1.391,1.519,0.48,0.83,0.089,0.127,2.057
2023,44,Brazil,6.272,6.154,6.39,1.43,1.269,0.548,0.685,0.13,0.142,2.068
2022,49,Brazil,6.125,5.997,6.252,1.454,1.25,0.387,0.558,0.131,0.137,2.205
2021,38,Brazil,6.293,6.202,6.384,1.462,1.044,0.615,0.546,0.131,0.134,2.361
2020,36,Brazil,6.33,6.245,6.415,1.028,0.944,0.571,0.514,0.142,0.117,3.015
2019,32,Brazil,6.376,6.296,6.456,0.953,1.363,0.766,0.483,0.132,0.107,2.572
2024,85,Bulgaria,5.554,5.46,5.647,1.573,1.725,0.463,0.708,0.055,0.0,1.029
2023,81,Bulgaria,5.463,5.357,5.569,1.629,1.469,0.567,0.62,0.083,0.006,1.088
2022,77,Bulgaria,5.466,5.35,5.582,1.635,1.457,0.408,0.557,0.106,0.013,1.289
2021,85,Bulgaria,5.371,5.257,5.485,1.625,1.163,0.64,0.563,0.123,0.021,1.235
2020,89,Bulgaria,5.266,5.16,5.371,1.181,1.055,0.583,0.494,0.125,0.005,1.823
2019,96,Bulgaria,5.102,5.015,5.188,1.047,1.461,0.778,0.418,0.104,0.0,1.295
2024,120,Burkina Faso,4.383,4.26,4.506,0.724,0.828,0.296,0.671,0.142,0.218,1.504
2023,110,Burkina Faso,4.548,4.41,4.686,0.756,0.685,0.274,0.483,0.173,0.179,1.999
2022,104,Burkina Faso,4.638,4.456,4.819,0.768,0.814,0.107,0.419,0.188,0.113,2.23
2021,113,Burkina Faso,4.67,4.527,4.814,0.779,0.565,0.32,0.382,0.186,0.126,2.313
2020,114,Burkina Faso,4.834,4.675,4.993,0.364,0.472,0.179,0.381,0.182,0.122,3.133
2019,112,Burkina Faso,4.769,4.647,4.89,0.302,0.929,0.313,0.322,0.186,0.126,2.589
2020,141,Burundi,3.775,3.565,3.985,0.0,0.062,0.155,0.298,0.172,0.212,2.876
